comparison,metric,mean_difference,ci_lower,ci_upper
Multimodal Fusion - Image-only,accuracy,0.056874025920221324,0.028846153846153855,0.08806945134061567
Multimodal Fusion - Image-only,precision,0.027912074754597897,-0.001041019921306127,0.05915834777844321
Multimodal Fusion - Image-only,recall,0.08977649885853006,0.05084745762711862,0.13334302325581388
Multimodal Fusion - Image-only,specificity,0.014766652846405926,-0.01731370053228422,0.05109489051094884
Multimodal Fusion - Image-only,f1,0.06342559249595191,0.035181785204220536,0.09732708886834449
Multimodal Fusion - Image-only,roc_auc,0.04328887228275987,0.032255626858351885,0.0556677669828641
Multimodal Fusion - Image-only,pr_auc,0.02841724693768767,0.019705279367447284,0.03864287952834235
Clinical-only - Multimodal Fusion,accuracy,0.13231308844692086,0.08332667731629385,0.18266328292450584
Clinical-only - Multimodal Fusion,precision,0.06727910887223817,0.01817292496377871,0.11667897230826758
Clinical-only - Multimodal Fusion,recall,0.18529035920330358,0.1202185792349727,0.2541436464088397
Clinical-only - Multimodal Fusion,specificity,0.06493585080768632,-0.006667785234899262,0.1376811594202898
Clinical-only - Multimodal Fusion,f1,0.12787027523781164,0.08257585524888232,0.1770259235448141
Clinical-only - Multimodal Fusion,roc_auc,0.10957257802883134,0.07268319612332964,0.1502401921709277
Clinical-only - Multimodal Fusion,pr_auc,0.0916497552608621,0.05537734516175258,0.13578365656936903
Clinical-only - Image-only,accuracy,0.18918711436714217,0.13375252205562366,0.24693196331127365
Clinical-only - Image-only,precision,0.09519118362683608,0.03724791253425801,0.1557224478968189
Clinical-only - Image-only,recall,0.2750668580618336,0.20808143024100573,0.3510861167241173
Clinical-only - Image-only,specificity,0.07970250365409225,0.006755623072737207,0.15329870859067923
Clinical-only - Image-only,f1,0.19129586773376353,0.1371153964016925,0.25089197631531834
Clinical-only - Image-only,roc_auc,0.1528614503115912,0.10925736243893978,0.20107198048947816
Clinical-only - Image-only,pr_auc,0.12006700219854977,0.08001431866806434,0.16861262620845346
